[06/Oct/2023 17:07:07] DEBUG [django.utils.autoreload:394] File C:\Users\boyle\AppData\Local\Programs\Python\Python310\Lib\email\message.py first seen with mtime 1662376652.0
[06/Oct/2023 17:07:07] DEBUG [django.utils.autoreload:394] File C:\Users\boyle\AppData\Local\Programs\Python\Python310\Lib\email\errors.py first seen with mtime 1662376652.0
[06/Oct/2023 17:07:07] DEBUG [django.utils.autoreload:394] File C:\Users\boyle\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\core\serializers\base.py first seen with mtime 1664119479.570652
[06/Oct/2023 17:07:07] DEBUG [django.utils.autoreload:394] File C:\Users\boyle\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\template\loaders\cached.py first seen with mtime 1664119479.7201977
[06/Oct/2023 17:07:07] DEBUG [django.utils.autoreload:394] File C:\Users\boyle\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\contrib\__init__.py first seen with mtime 1664119477.6118612
[06/Oct/2023 17:07:07] DEBUG [django.utils.autoreload:394] File C:\Users\boyle\AppData\Local\Programs\Python\Python310\Lib\os.py first seen with mtime 1662376652.0
[06/Oct/2023 17:07:07] DEBUG [django.utils.autoreload:394] File C:\Users\boyle\AppData\Local\Programs\Python\Python310\DLLs\_uuid.pyd first seen with mtime 1662376694.0
[06/Oct/2023 17:07:07] DEBUG [django.utils.autoreload:394] File C:\Users\boyle\AppData\Local\Programs\Python\Python310\Lib\codecs.py first seen with mtime 1662376652.0
[06/Oct/2023 17:07:07] DEBUG [django.utils.autoreload:394] File C:\Users\boyle\AppData\Local\Programs\Python\Python310\DLLs\select.pyd first seen with mtime 1662376694.0
[06/Oct/2023 17:07:07] DEBUG [django.utils.autoreload:394] File C:\Users\boyle\AppData\Local\Programs\Python\Python310\Lib\sre_constants.py first seen with mtime 1662376652.0
[06/Oct/2023 17:07:07] DEBUG [django.utils.autoreload:394] File C:\Users\boyle\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\http\cookie.py first seen with mtime 1664119479.7002623
[06/Oct/2023 17:07:07] DEBUG [django.utils.autoreload:394] File C:\Users\boyle\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\db\models\fields\reverse_related.py first seen with mtime 1664119479.6342556
[06/Oct/2023 17:07:07] DEBUG [django.utils.autoreload:394] File C:\Users\boyle\AppData\Local\Programs\Python\Python310\Lib\collections\abc.py first seen with mtime 1662376652.0
[06/Oct/2023 17:07:07] DEBUG [django.utils.autoreload:394] File C:\Users\boyle\AppData\Local\Programs\Python\Python310\Lib\sre_compile.py first seen with mtime 1662376652.0
[06/Oct/2023 17:07:07] DEBUG [django.utils.autoreload:394] File C:\Users\boyle\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\db\backends\postgresql\client.py first seen with mtime 1664119479.598353
